"CITY_EN","REGION","NUTS1","NUTS2","NUTS3"
"ISTANBUL","ISTANBUL","TR1","TR10","TR100"
"TEKIRDAG","BATI MARMARA","TR2","TR21","TR211"
"EDIRNE","BATI MARMARA","TR2","TR21","TR212"
"KIRKLARELI","BATI MARMARA","TR2","TR21","TR213"
"BALIKESIR","BATI MARMARA","TR2","TR22","TR221"
"CANAKKALE","BATI MARMARA","TR2","TR22","TR222"
"IZMIR","EGE","TR3","TR31","TR310"
"AYDIN","EGE","TR3","TR32","TR321"
"DENIZLI","EGE","TR3","TR32","TR322"
"MUGLA","EGE","TR3","TR32","TR323"
"MANISA","EGE","TR3","TR33","TR331"
"AFYONKARAHISAR","EGE","TR3","TR33","TR332"
"KUTAHYA","EGE","TR3","TR33","TR333"
"USAK","EGE","TR3","TR33","TR334"
"BURSA","DOGU MARMARA","TR4","TR41","TR411"
"ESKISEHIR","DOGU MARMARA","TR4","TR41","TR412"
"BILECIK","DOGU MARMARA","TR4","TR41","TR413"
"KOCAELI","DOGU MARMARA","TR4","TR42","TR421"
"SAKARYA","DOGU MARMARA","TR4","TR42","TR422"
"DUZCE","DOGU MARMARA","TR4","TR42","TR423"
"BOLU","DOGU MARMARA","TR4","TR42","TR424"
"YALOVA","DOGU MARMARA","TR4","TR42","TR425"
"ANKARA","BATI ANADOLU","TR5","TR51","TR510"
"KONYA","BATI ANADOLU","TR5","TR52","TR521"
"KARAMAN","BATI ANADOLU","TR5","TR52","TR522"
"ANTALYA","AKDENIZ","TR6","TR61","TR611"
"ISPARTA","AKDENIZ","TR6","TR61","TR612"
"BURDUR","AKDENIZ","TR6","TR61","TR613"
"ADANA","AKDENIZ","TR6","TR62","TR621"
"MERSIN","AKDENIZ","TR6","TR62","TR622"
"HATAY","AKDENIZ","TR6","TR63","TR631"
"KAHRAMANMARAS","AKDENIZ","TR6","TR63","TR632"
"OSMANIYE","AKDENIZ","TR6","TR63","TR633"
"KIRIKKALE","ORTA ANADOLU","TR7","TR71","TR711"
"AKSARAY","ORTA ANADOLU","TR7","TR71","TR712"
"NIGDE","ORTA ANADOLU","TR7","TR71","TR713"
"NEVSEHIR","ORTA ANADOLU","TR7","TR71","TR714"
"KIRSEHIR","ORTA ANADOLU","TR7","TR71","TR715"
"KAYSERI","ORTA ANADOLU","TR7","TR72","TR721"
"SIVAS","ORTA ANADOLU","TR7","TR72","TR722"
"YOZGAT","ORTA ANADOLU","TR7","TR72","TR723"
"ZONGULDAK","BATI KARADENIZ","TR8","TR81","TR811"
"KARABUK","BATI KARADENIZ","TR8","TR81","TR812"
"BARTIN","BATI KARADENIZ","TR8","TR81","TR813"
"KASTAMONU","BATI KARADENIZ","TR8","TR82","TR821"
"CANKIRI","BATI KARADENIZ","TR8","TR82","TR822"
"SINOP","BATI KARADENIZ","TR8","TR82","TR823"
"SAMSUN","BATI KARADENIZ","TR8","TR83","TR831"
"TOKAT","BATI KARADENIZ","TR8","TR83","TR832"
"CORUM","BATI KARADENIZ","TR8","TR83","TR833"
"AMASYA","BATI KARADENIZ","TR8","TR83","TR834"
"TRABZON","DOGU KARADENIZ","TR9","TR90","TR901"
"ORDU","DOGU KARADENIZ","TR9","TR90","TR902"
"GIRESUN","DOGU KARADENIZ","TR9","TR90","TR903"
"RIZE","DOGU KARADENIZ","TR9","TR90","TR904"
"ARTVIN","DOGU KARADENIZ","TR9","TR90","TR905"
"GUMUSHANE","DOGU KARADENIZ","TR9","TR90","TR906"
"ERZURUM","KUZEYDOGU ANADOLU","TRA","TRA1","TRA11"
"ERZINCAN","KUZEYDOGU ANADOLU","TRA","TRA1","TRA12"
"BAYBURT","KUZEYDOGU ANADOLU","TRA","TRA1","TRA13"
"AGRI","KUZEYDOGU ANADOLU","TRA","TRA2","TRA21"
"KARS","KUZEYDOGU ANADOLU","TRA","TRA2","TRA22"
"IGDIR","KUZEYDOGU ANADOLU","TRA","TRA2","TRA23"
"ARDAHAN","KUZEYDOGU ANADOLU","TRA","TRA2","TRA24"
"MALATYA","ORTADOGU ANADOLU","TRB","TRB1","TRB11"
"ELAZIG","ORTADOGU ANADOLU","TRB","TRB1","TRB12"
"BINGOL","ORTADOGU ANADOLU","TRB","TRB1","TRB13"
"TUNCELI","ORTADOGU ANADOLU","TRB","TRB1","TRB14"
"VAN","ORTADOGU ANADOLU","TRB","TRB2","TRB21"
"MUS","ORTADOGU ANADOLU","TRB","TRB2","TRB22"
"BITLIS","ORTADOGU ANADOLU","TRB","TRB2","TRB23"
"HAKKARI","ORTADOGU ANADOLU","TRB","TRB2","TRB24"
"GAZIANTEP","GUNEYDOGU ANADOLU","TRC","TRC1","TRC11"
"ADIYAMAN","GUNEYDOGU ANADOLU","TRC","TRC1","TRC12"
"KILIS","GUNEYDOGU ANADOLU","TRC","TRC1","TRC13"
"SANLIURFA","GUNEYDOGU ANADOLU","TRC","TRC2","TRC21"
"DIYARBAKIR","GUNEYDOGU ANADOLU","TRC","TRC2","TRC22"
"MARDIN","GUNEYDOGU ANADOLU","TRC","TRC3","TRC31"
"BATMAN","GUNEYDOGU ANADOLU","TRC","TRC3","TRC32"
"SIRNAK","GUNEYDOGU ANADOLU","TRC","TRC3","TRC33"
"SIIRT","GUNEYDOGU ANADOLU","TRC","TRC3","TRC34"
